{{-1.2610282166222767*^6, {theta -> 0.446860929340764, t1 -> 0.5158111827320194, t2 -> 2.703574814074454, yy -> 0.3775465090291006, xx -> 4.9556461849345235}}}
{{-1.2643997894979068*^6, {theta -> 0.3765477678907289, t1 -> 0.7556656792166886, t2 -> 3.064297371088507, yy -> 0.31878807948214116, xx -> 3.7186949371633924}}}
{{-1.2612886221026625*^6, {theta -> 0.4510202479178316, t1 -> 0.47418444573053353, t2 -> 2.714692629131286, yy -> 0.373427785958673, xx -> 5.38909903487374}}}
{{-1.2626794494768344*^6, {theta -> 0.4134909587084013, t1 -> 0.4847314960928316, t2 -> 3.0624601748520854, yy -> 0.3461221970651343, xx -> 6.}}}
{{-1.2567807333206323*^6, {theta -> 0.45639747559894644, t1 -> 0.4715149473958281, t2 -> 2.7722475042575994, yy -> 0.3860765403070221, xx -> 5.611658320910085}}}
{{-1.2572411374191458*^6, {theta -> 0.44441180957662857, t1 -> 0.4577214738151406, t2 -> 2.766722749151158, yy -> 0.36454737298952866, xx -> 5.751350036356597}}}
{{-1.2595276307105692*^6, {theta -> 0.4242935100019187, t1 -> 0.460440166599805, t2 -> 2.9967043853084534, yy -> 0.3554147334619258, xx -> 5.821880793921114}}}
{{-1.253786423965488*^6, {theta -> 0.45100453917806055, t1 -> 0.5023178328589211, t2 -> 2.816454452360777, yy -> 0.38058063502705364, xx -> 5.218974887288077}}}
{{-1.2579385178653356*^6, {theta -> 0.44289194305173823, t1 -> 0.4450478807457828, t2 -> 2.8198480726192834, yy -> 0.3700609839453031, xx -> 5.7578931375813465}}}
{{-1.264214124897705*^6, {theta -> 0.45647621750864176, t1 -> 0.5514834260246765, t2 -> 2.626639851717057, yy -> 0.3790627994624601, xx -> 4.740496732481405}}}
{{-1.2606821895113622*^6, {theta -> 0.44168136502418787, t1 -> 0.496268638185282, t2 -> 2.8900674194647404, yy -> 0.38280167790768727, xx -> 5.445617085517078}}}
{{-1.2665727280210806*^6, {theta -> 0.45374295757237776, t1 -> 0.5168926196086259, t2 -> 2.681384342216903, yy -> 0.3826842975394135, xx -> 5.257824806249214}}}
{{-1.2628718050564965*^6, {theta -> 0.43814752907905413, t1 -> 0.5182308206289357, t2 -> 2.898673608577867, yy -> 0.38589444607727563, xx -> 5.148866708533097}}}
{{-1.2583619910043122*^6, {theta -> 0.4512226737246125, t1 -> 0.49385675152725506, t2 -> 2.726226866455549, yy -> 0.3790724359686047, xx -> 5.427158047629587}}}
{{-1.2669065439978084*^6, {theta -> 0.4401944884379684, t1 -> 0.475226280730966, t2 -> 2.7547056925263993, yy -> 0.3673106337524672, xx -> 5.180836572846648}}}
{{-1.2630989572938625*^6, {theta -> 0.4359327817453543, t1 -> 0.48855243482256117, t2 -> 2.722129308837106, yy -> 0.34671298043893184, xx -> 5.461996008842156}}}
{{-1.2580516813023868*^6, {theta -> 0.44093084139176286, t1 -> 0.4871539835289752, t2 -> 2.853503432542108, yy -> 0.3629242078416283, xx -> 5.176181682248376}}}
{{-1.2598117258999874*^6, {theta -> 0.4517450685899477, t1 -> 0.4800766564124139, t2 -> 2.6969765959569254, yy -> 0.37782959118514664, xx -> 5.491443251654131}}}
{{-1.2672974755178746*^6, {theta -> 0.4532024072827842, t1 -> 0.48978317697731505, t2 -> 2.7700078698365793, yy -> 0.3808435989746891, xx -> 5.040749618814279}}}
{{-1.261396301875629*^6, {theta -> 0.33950019914336804, t1 -> 0.6696144255221214, t2 -> 3.731496888957023, yy -> 0.277275502075635, xx -> 3.9675919941278917}}}
{{-1.2576575336574633*^6, {theta -> 0.44506969335076685, t1 -> 0.46126553183619423, t2 -> 2.8668844211420845, yy -> 0.3764705033898163, xx -> 5.507035694069001}}}
{{-1.2610556826958614*^6, {theta -> 0.365202366139484, t1 -> 0.6626094614111153, t2 -> 3.19099952623294, yy -> 0.3060657528382372, xx -> 4.150023004675749}}}
{{-1.2604658780611875*^6, {theta -> 0.44195443597047673, t1 -> 0.4637543936498653, t2 -> 2.8038935466553863, yy -> 0.3661264369878084, xx -> 5.744604012781306}}}
{{-1.262685427077924*^6, {theta -> 0.4498380519968321, t1 -> 0.483049522015656, t2 -> 2.84660823138966, yy -> 0.3838884340840544, xx -> 5.075614964662858}}}
{{-1.2593312760805879*^6, {theta -> 0.4570652932961034, t1 -> 0.4909352642433507, t2 -> 2.752299267683969, yy -> 0.38684770555869347, xx -> 5.451656325639044}}}
{{-1.2630039494145345*^6, {theta -> 0.4559366924244257, t1 -> 0.49650018990577094, t2 -> 2.702484968450241, yy -> 0.38498756798443773, xx -> 5.175709492320478}}}
{{-1.2615400402539028*^6, {theta -> 0.4542689383054207, t1 -> 0.4927628417560555, t2 -> 2.722836836064146, yy -> 0.38230946591720927, xx -> 5.141905125783892}}}
{{-1.2683863369213445*^6, {theta -> 0.4334774842495891, t1 -> 0.5257358058492617, t2 -> 2.6412361436933534, yy -> 0.3477880054435526, xx -> 5.13345840433697}}}
{{-1.2625360239541656*^6, {theta -> 0.4502103116965557, t1 -> 0.47429116458033754, t2 -> 2.739639305138338, yy -> 0.3784986703786524, xx -> 5.395716178986808}}}
{{-1.260772626790608*^6, {theta -> 0.43196730596484845, t1 -> 0.4549599167665321, t2 -> 2.8813106958858303, yy -> 0.3529039926612948, xx -> 5.346424389841769}}}
{{-1.2586015159927197*^6, {theta -> 0.4578351661708832, t1 -> 0.5099909331001915, t2 -> 2.7510251348175183, yy -> 0.3869080928853683, xx -> 5.310190724897599}}}
{{-1.2552626510040704*^6, {theta -> 0.44359520716049367, t1 -> 0.4442573706591289, t2 -> 2.951691011240701, yy -> 0.37271653786341247, xx -> 5.734742992270478}}}
{{-1.260404935755089*^6, {theta -> 0.42607142470513953, t1 -> 0.44836097681438025, t2 -> 2.900192925186126, yy -> 0.3533554540793599, xx -> 5.335452794619769}}}
{{-1.2570761066955007*^6, {theta -> 0.42196113028982607, t1 -> 0.4525348070516561, t2 -> 3.081952208634773, yy -> 0.35395407524739375, xx -> 6.}}}
