{-940834.8209505787, {theta -> 1.5461619034784058, t1 -> 0.34286332320065505, yy -> 6.746827889877137, xx -> 9.198826904314611}}
{-939044.931491382, {theta -> 1.5132781735914467, t1 -> 0.36943620029482493, yy -> 6.498079670434987, xx -> 9.297257353135034}}
{-940658.2911903447, {theta -> 1.5252348248528178, t1 -> 0.36288604381862316, yy -> 6.4539124984815, xx -> 9.403765257046624}}
{-939469.0441343272, {theta -> 1.5347628982748913, t1 -> 0.36363745203436215, yy -> 6.668276006558603, xx -> 9.435741016661039}}
{-943064.2591224499, {theta -> 1.5418073311051805, t1 -> 0.34942088042033126, yy -> 6.814477241934153, xx -> 8.634134560948473}}
{-936918.6173193051, {theta -> 1.521339266679966, t1 -> 0.358468278680235, yy -> 6.620509396738988, xx -> 9.618715249732812}}
{-941334.6196808731, {theta -> 1.5222401987906324, t1 -> 0.3613304448771535, yy -> 6.465356083204383, xx -> 9.043402257844498}}
{-940741.0286790819, {theta -> 1.5250659827969015, t1 -> 0.36343042385888213, yy -> 6.337366060879442, xx -> 9.338487698074204}}
{-939318.2999957937, {theta -> 1.5285255587709794, t1 -> 0.3606509570569103, yy -> 6.766035246430322, xx -> 9.018334068341229}}
{-936450.8294569134, {theta -> 1.5129196999968795, t1 -> 0.3699130470915694, yy -> 6.613628858201862, xx -> 9.457180786346823}}
{-939363.0971668367, {theta -> 1.5261544183015727, t1 -> 0.366672682026108, yy -> 6.535859361314531, xx -> 9.3035845682905}}
{-938834.6024832835, {theta -> 1.5286436660723592, t1 -> 0.3575714183424475, yy -> 6.572819068040381, xx -> 9.52401415441895}}
{-937825.3772184444, {theta -> 1.5185350206062187, t1 -> 0.3656473198947053, yy -> 6.651161660321519, xx -> 9.454656434976357}}
{-939768.7457328218, {theta -> 1.5252656205898925, t1 -> 0.3627237967670015, yy -> 6.417072127661984, xx -> 9.481981672670303}}
{-938742.2036127371, {theta -> 1.5120482710737622, t1 -> 0.36886969444347306, yy -> 6.319341903004207, xx -> 9.64685085433159}}
{-938227.0194266797, {theta -> 1.526894998977271, t1 -> 0.35845178924338955, yy -> 6.523101061913531, xx -> 9.707095646547591}}
{-937990.399938771, {theta -> 1.4986279816047432, t1 -> 0.38073773042711295, yy -> 6.316842142715573, xx -> 9.251064822893001}}
{-936071.3607894972, {theta -> 1.5226492104859792, t1 -> 0.36538955720262356, yy -> 6.7169810349926244, xx -> 9.62695606498771}}
{-935668.0636945725, {theta -> 1.5107334078374295, t1 -> 0.3708088760157152, yy -> 6.428394318809959, xx -> 9.703300618113541}}
{-940849.1084009276, {theta -> 1.5140110002001388, t1 -> 0.36388024948247133, yy -> 6.433804523973854, xx -> 8.963039330942769}}
{-937681.5067965115, {theta -> 1.523055530474007, t1 -> 0.35424518425144763, yy -> 6.79923471299677, xx -> 9.319245987181095}}
{-934880.9561778444, {theta -> 1.4983413867383595, t1 -> 0.3685775675707343, yy -> 6.411345411615921, xx -> 9.936869801177188}}
{-938586.7426538969, {theta -> 1.5203470969709936, t1 -> 0.36177195982597143, yy -> 6.245846115932543, xx -> 9.781672054757987}}
{-937395.0186890196, {theta -> 1.5136413423229655, t1 -> 0.36574242594478296, yy -> 6.711246253895622, xx -> 9.075719748913723}}
{-939817.0009631503, {theta -> 1.5385160601481003, t1 -> 0.3448511458960205, yy -> 6.84199575569267, xx -> 9.286798403659287}}
