{-3.678818770782603*^6, {theta -> 0.6605572201746609, t2 -> 2.159015742995808, adm -> 0.37833476914998154, aa -> 0.5393706877827242, yy -> 0.8892690130193758, xx -> 0.4140810047756859}}
{-3.666050209523355*^6, {theta -> 0.5469149484818514, t2 -> 2.5108805362228352, adm -> 0.4966004936845828, aa -> 0.5187795971286552, yy -> 0.7367262193411831, xx -> 0.42365191745207553}}
{-3.6711479285960854*^6, {theta -> 0.6510101587949297, t2 -> 2.049757564567873, adm -> 0.3401158274012327, aa -> 0.4934598148505136, yy -> 0.8394532072411394, xx -> 0.2932791114960908}}
{-3.673797961692164*^6, {theta -> 0.6435655588798048, t2 -> 2.0242323924343744, adm -> 0.394672819129834, aa -> 0.5095143818774928, yy -> 0.8708280156866042, xx -> 0.31219684347741883}}
{-3.6757427310047103*^6, {theta -> 0.617425838707082, t2 -> 2.10832477814645, adm -> 0.42074959412504004, aa -> 0.5063774512353725, yy -> 0.8240340111361117, xx -> 0.4320933881767822}}
{-3.6708068979085824*^6, {theta -> 0.4950429406242105, t2 -> 2.8304101597331575, adm -> 0.5537641460129498, aa -> 0.534049406197131, yy -> 0.656595061460524, xx -> 0.39205653263360013}}
{-3.67157654030699*^6, {theta -> 0.6086960456367025, t2 -> 2.183545738396856, adm -> 0.4315562558556759, aa -> 0.5187841022626314, yy -> 0.8162401648776414, xx -> 0.44147416757233937}}
{-3.673389775941121*^6, {theta -> 0.6663139754502285, t2 -> 2.046055615641711, adm -> 0.4038069121316855, aa -> 0.5327357201355816, yy -> 0.9400381270454014, xx -> 0.39052227109653814}}
{-3.6725465592888477*^6, {theta -> 0.6033623412907902, t2 -> 2.1700726038755747, adm -> 0.4510000187379396, aa -> 0.5201710348634762, yy -> 0.8121290655655747, xx -> 0.42430322268438936}}
{-3.6778703607524997*^6, {theta -> 0.6618787223616058, t2 -> 2.004585696585723, adm -> 0.4145295862953505, aa -> 0.5220025500827938, yy -> 0.9128685412685131, xx -> 0.41316176125841303}}
{-3.6679433099136073*^6, {theta -> 0.5984049951278964, t2 -> 2.373649584807505, adm -> 0.4327424490451972, aa -> 0.5593152980465139, yy -> 0.8540663092483752, xx -> 0.3443672610173133}}
{-3.668153855463812*^6, {theta -> 0.5517724901699698, t2 -> 2.6168418633124535, adm -> 0.4414000212128997, aa -> 0.5215623246990464, yy -> 0.7868095826471487, xx -> 0.21860873813014034}}
{-3.6749954768620487*^6, {theta -> 0.657393648839911, t2 -> 2.0500647357709783, adm -> 0.40761825254254, aa -> 0.5251172981230863, yy -> 0.916559166172652, xx -> 0.3316314072202209}}
{-3.6665225310163666*^6, {theta -> 0.5897743944743223, t2 -> 2.296954696158548, adm -> 0.46745397329056604, aa -> 0.5273373933869568, yy -> 0.8075117007669863, xx -> 0.4143587704540477}}
{-3.674503682529218*^6, {theta -> 0.6183470419328196, t2 -> 2.1256989147677574, adm -> 0.4274467043191444, aa -> 0.5069030147810696, yy -> 0.8308916601384213, xx -> 0.4589420817688442}}
{-3.672974524602307*^6, {theta -> 0.5107725008588051, t2 -> 2.730126511173753, adm -> 0.5074113585184185, aa -> 0.4974047493358994, yy -> 0.6675469334033981, xx -> 0.4380118682047456}}
{-3.676973028513031*^6, {theta -> 0.5473445002718971, t2 -> 2.838895685241579, adm -> 0.4288535967789221, aa -> 0.5587440901196137, yy -> 0.7462872832911595, xx -> 0.2511288652625471}}
{-3.6707724010590045*^6, {theta -> 0.5532038524719348, t2 -> 2.790587627904281, adm -> 0.45169802675555504, aa -> 0.5872675841513835, yy -> 0.758147463700896, xx -> 0.45563416167300613}}
{-3.677158695562589*^6, {theta -> 0.35690176406227514, t2 -> 4.450612884157875, adm -> 0.7428843202196647, aa -> 0.5225482872503759, yy -> 0.463350007296454, xx -> 0.260007777411262}}
{-3.6739004626062596*^6, {theta -> 0.5715642951612516, t2 -> 2.7319557109060297, adm -> 0.410042823289701, aa -> 0.5498770044389296, yy -> 0.7682288263132102, xx -> 0.19085201399324495}}
{-3.677900498595718*^6, {theta -> 0.6757287195850064, t2 -> 2.0077457254481095, adm -> 0.3912470554623716, aa -> 0.5361652473618161, yy -> 0.9305293405192746, xx -> 0.43954187644969883}}
