{-5.919225633876613*^6, {theta -> 1.521548911550508, t1 -> 0.2616670187725525, yy -> 0.010039523584364086, xx -> 0.01}}
{-5.921478243005278*^6, {theta -> 1.5569027307692247, t1 -> 0.24300560934477594, yy -> 0.01002219153035919, xx -> 0.01}}
{-5.920419886099693*^6, {theta -> 1.530710554621482, t1 -> 0.25640526318431905, yy -> 0.01, xx -> 0.010050822700923338}}
{-5.919610814185387*^6, {theta -> 1.5573159653362862, t1 -> 0.2427698319567301, yy -> 0.019811872634326898, xx -> 0.010840055196812384}}
{-5.918073378638067*^6, {theta -> 1.5632028033034855, t1 -> 0.257703353371292, yy -> 0.0771871268029371, xx -> 0.03699603182660943}}
{-5.915826239715055*^6, {theta -> 1.5161554809369306, t1 -> 0.2640415405296209, yy -> 0.01, xx -> 0.01}}
{-5.916268347726408*^6, {theta -> 1.515433604594103, t1 -> 0.2631620036621528, yy -> 0.010000025121586062, xx -> 0.01000021700594943}}
{-5.918595246142924*^6, {theta -> 1.5035278942989778, t1 -> 0.27229017336129946, yy -> 0.01, xx -> 0.01}}
{-5.923533160792334*^6, {theta -> 1.5205568420427888, t1 -> 0.26237860016769365, yy -> 0.010710647493480462, xx -> 0.016006682800847293}}
{-5.917783657889887*^6, {theta -> 1.5464424549652693, t1 -> 0.24648468425676534, yy -> 0.010000952591512405, xx -> 0.010000442716120553}}
{-5.913605477740337*^6, {theta -> 1.522086394429206, t1 -> 0.2579628850939063, yy -> 0.010093295322093994, xx -> 0.010054341383340912}}
{-5.915050264012363*^6, {theta -> 1.5209742426605375, t1 -> 0.25954951149437977, yy -> 0.01, xx -> 0.010102314393587688}}
{-5.917385614371163*^6, {theta -> 1.5485580990222738, t1 -> 0.24521121983566346, yy -> 0.01, xx -> 0.01010293587033098}}
{-5.917591321620405*^6, {theta -> 1.5427261415410325, t1 -> 0.24820845732717944, yy -> 0.01, xx -> 0.01}}
{-5.919117151332643*^6, {theta -> 1.5417950351578202, t1 -> 0.24948169297161238, yy -> 0.010471755015019847, xx -> 0.012235032181642633}}
{-5.918813495278035*^6, {theta -> 1.5163265946472815, t1 -> 0.2632512524317369, yy -> 0.01, xx -> 0.010981393322091009}}
{-5.918779625310741*^6, {theta -> 1.5262510549869592, t1 -> 0.25944680118159896, yy -> 0.010036356736620176, xx -> 0.01}}
{-5.915943386919497*^6, {theta -> 1.5323822916603005, t1 -> 0.2542145354449552, yy -> 0.01015485433571493, xx -> 0.01}}
{-5.925086076799352*^6, {theta -> 1.539458985754792, t1 -> 0.25339524697238947, yy -> 0.011733065797839518, xx -> 0.010147599862962443}}
{-5.918945671524473*^6, {theta -> 1.5243943342447197, t1 -> 0.25768640895731465, yy -> 0.01928230252223378, xx -> 0.011047616871038446}}
{-5.914377614348607*^6, {theta -> 1.5206704718600421, t1 -> 0.2615945742621911, yy -> 0.010496981740217057, xx -> 0.01}}
{-5.922994150451876*^6, {theta -> 1.5421660585617198, t1 -> 0.25168372948737505, yy -> 0.01047948205782992, xx -> 0.010252458259471778}}
{-5.9205755301490985*^6, {theta -> 1.5864639958172915, t1 -> 0.24435500377038133, yy -> 0.035527213256010964, xx -> 0.09944247775802281}}
{-5.917311141058018*^6, {theta -> 1.5324502472092694, t1 -> 0.2522039832322157, yy -> 0.015237397719366656, xx -> 0.01}}
{-5.914570346998196*^6, {theta -> 1.520780211928269, t1 -> 0.259461066703586, yy -> 0.01000418905494431, xx -> 0.010005498125186866}}
{-5.917763007293674*^6, {theta -> 1.5234500984813175, t1 -> 0.2603833511855935, yy -> 0.01, xx -> 0.010000003615277721}}
{-5.915178799919436*^6, {theta -> 1.5195383110860494, t1 -> 0.26086463165572965, yy -> 0.017611395084717207, xx -> 0.012679792639461448}}
