{-4.320557922398653*^6, {theta -> 0.8007829996204028, t1 -> 0.1712686335567731, t2 -> 1.2839848144171138, aa -> 0.5247077986935114, yy -> 0.22790751507823073, xx -> 2.0262229493065704}}
{-4.331213246560456*^6, {theta -> 0.8138408842653976, t1 -> 0.13919363892087822, t2 -> 1.251509426828391, aa -> 0.4790315116703223, yy -> 0.21781756672567604, xx -> 2.420816120439894}}
{-4.345584793618867*^6, {theta -> 0.8014285228949335, t1 -> 0.16308491592916136, t2 -> 1.2849522387859034, aa -> 0.42044738386225783, yy -> 0.22620171469779368, xx -> 2.0000001033380346}}
{-4.324214875193745*^6, {theta -> 0.8775507741074818, t1 -> 0.17401584234743195, t2 -> 1.0001575430154594, aa -> 0.4440812273022692, yy -> 0.221566207268519, xx -> 2.034064500389198}}
{-4.341103217265544*^6, {theta -> 0.9281087896666886, t1 -> 0.1386429427123218, t2 -> 0.933874609348339, aa -> 0.403213648841959, yy -> 0.22580631444469207, xx -> 2.551157055989827}}
{-4.32933196185324*^6, {theta -> 0.8224917872214976, t1 -> 0.10832208463706683, t2 -> 1.3039575333291455, aa -> 0.49992764795476574, yy -> 0.23306594504584227, xx -> 2.946415009101309}}
{-4.322707599952018*^6, {theta -> 0.8166373989437248, t1 -> 0.17396513895728016, t2 -> 1.189782488118667, aa -> 0.4485517930027422, yy -> 0.2296160829081137, xx -> 2.009939273514644}}
{-4.335754282060202*^6, {theta -> 0.8, t1 -> 0.16622199859926773, t2 -> 1.2599930453355959, aa -> 0.424129035188836, yy -> 0.22283132843136852, xx -> 2.000001713963117}}
{-4.325454099302046*^6, {theta -> 0.8941418960264771, t1 -> 0.10378363638539484, t2 -> 1.0312867142072455, aa -> 0.4228171513186641, yy -> 0.21638107878952054, xx -> 3.204616124318422}}
{-4.343360038544525*^6, {theta -> 0.9060707916614902, t1 -> 0.159421737096055, t2 -> 0.9855644965413296, aa -> 0.3961616308847452, yy -> 0.23678358933970495, xx -> 2.0261691797496377}}
{-4.327279684098216*^6, {theta -> 0.8721433426628431, t1 -> 0.08566218110865295, t2 -> 1.1384156639207204, aa -> 0.5008229090843236, yy -> 0.21349996297610224, xx -> 3.6919597405499283}}
{-4.330086075557185*^6, {theta -> 0.8372046252977083, t1 -> 0.1513791532831885, t2 -> 1.1564228350760226, aa -> 0.4751791908351604, yy -> 0.22072027572007458, xx -> 2.1298357711565976}}
{-4.335419281228229*^6, {theta -> 0.8327075936576516, t1 -> 0.11369653562900288, t2 -> 1.1886890265695063, aa -> 0.34906349397673864, yy -> 0.21775079988151758, xx -> 2.9979624829339384}}
{-4.349394395971322*^6, {theta -> 0.8067901927113835, t1 -> 0.15879915326168126, t2 -> 1.2598102228040888, aa -> 0.35321458004435935, yy -> 0.22678325492444085, xx -> 2.035312903562902}}
{-4.33002078798363*^6, {theta -> 0.8398843049997055, t1 -> 0.14873527052265859, t2 -> 1.138278035759173, aa -> 0.4407658987100087, yy -> 0.2263277461028001, xx -> 2.127675687662932}}
{-4.314217815731056*^6, {theta -> 0.8006085290210789, t1 -> 0.173252413295969, t2 -> 1.2759522964408996, aa -> 0.5537155814075998, yy -> 0.22669792412901935, xx -> 2.0424441025817353}}
{-4.332271936229495*^6, {theta -> 0.8085363282433176, t1 -> 0.14313833428627015, t2 -> 1.2434379145527625, aa -> 0.4372237305581016, yy -> 0.20521316229905007, xx -> 2.416560873424954}}
{-4.335246178420689*^6, {theta -> 0.8159323818756743, t1 -> 0.14737040407667534, t2 -> 1.2216844720583413, aa -> 0.42732970884893484, yy -> 0.2134000352047345, xx -> 2.3943580492963417}}
{-4.336721290176201*^6, {theta -> 0.9298052008919682, t1 -> 0.18961775988904625, t2 -> 0.8846068884844488, aa -> 0.4242234138451068, yy -> 0.24395576921456397, xx -> 2.}}
{-4.334390610232603*^6, {theta -> 0.8003810553957755, t1 -> 0.13151584704574726, t2 -> 1.3131563170194505, aa -> 0.4244676128966035, yy -> 0.2272743473331552, xx -> 2.702370467867679}}
{-4.338573930156209*^6, {theta -> 0.8013946356440482, t1 -> 0.15382763079399028, t2 -> 1.2980295535711917, aa -> 0.46926377646945927, yy -> 0.22446258892689214, xx -> 2.075608856368727}}
{-4.324730704912072*^6, {theta -> 0.8331824328770411, t1 -> 0.08537525654832873, t2 -> 1.2588847560854979, aa -> 0.519236808099805, yy -> 0.21654336954518347, xx -> 3.6056023982716576}}
{-4.309455250403815*^6, {theta -> 0.9706415903591934, t1 -> 0.1414758016282774, t2 -> 0.8357269901798544, aa -> 0.5202501277337737, yy -> 0.24098099020367797, xx -> 2.711479350760931}}
{-4.342785992186058*^6, {theta -> 0.8161695447348518, t1 -> 0.11222366577046494, t2 -> 1.264032001453498, aa -> 0.4180494371865312, yy -> 0.21545484259479103, xx -> 2.7796021064843757}}
{-4.333284793128961*^6, {theta -> 0.9396517826764477, t1 -> 0.15735577589545965, t2 -> 0.8373703230945622, aa -> 0.35521888416169123, yy -> 0.22278744949878299, xx -> 2.1841256302995524}}
{-4.324697992220831*^6, {theta -> 0.8232563356331282, t1 -> 0.16650246085748405, t2 -> 1.1891860829086818, aa -> 0.5005934422588227, yy -> 0.22574690788794036, xx -> 2.0013201220178747}}
{-4.336277839745408*^6, {theta -> 0.8334996197303235, t1 -> 0.1621185940579084, t2 -> 1.135010334139734, aa -> 0.3547450597160328, yy -> 0.22163165357840098, xx -> 2.041621822797415}}
{-4.329674851282727*^6, {theta -> 0.800975877525397, t1 -> 0.0907853046911454, t2 -> 1.3652533100934203, aa -> 0.4934622754539112, yy -> 0.2181748911353153, xx -> 3.6469884579903296}}
