{-1.275147180051119*^6, {theta -> 1.3024136735380292, t1 -> 0.09649649425712296, t2 -> 0.10575974772423705, adm -> 0.1509311203137695, aa -> 0.08269599723341482, yy -> 7.10836556610084, xx -> 13.535730338502246}}
{-1.2778316727856034*^6, {theta -> 1.2752903145450627, t1 -> 0.07158227937380071, t2 -> 0.10821531999800452, adm -> 0.19386999029043253, aa -> 0.08922891154380375, yy -> 6.540786508800997, xx -> 13.641053034382066}}
{-1.27720341173605*^6, {theta -> 1.2668251128115877, t1 -> 0.1214382740633344, t2 -> 0.10481585606991749, adm -> 0.14570655339978048, aa -> 0.06384873721096773, yy -> 6.714434739790735, xx -> 12.748933092396031}}
{-1.2792514251031142*^6, {theta -> 1.2750361304699875, t1 -> 0.10911069844775516, t2 -> 0.11099012236235076, adm -> 0.15255081108424515, aa -> 0.07552853168006246, yy -> 6.577147064161998, xx -> 12.896597727249315}}
{-1.2794770137689533*^6, {theta -> 1.287647775630096, t1 -> 0.08480177206687331, t2 -> 0.11088294374399146, adm -> 0.17161076791028176, aa -> 0.11359646705224999, yy -> 6.744050749969264, xx -> 13.668433415977498}}
{-1.2779776554913963*^6, {theta -> 1.2724244618055953, t1 -> 0.09530480822643667, t2 -> 0.12722770780146397, adm -> 0.15664672146265274, aa -> 0.11840534912682164, yy -> 6.522225173790156, xx -> 13.532339195957405}}
{-1.2796885182095803*^6, {theta -> 1.2811862187783158, t1 -> 0.09683179743642528, t2 -> 0.11279072907219444, adm -> 0.16036467476929744, aa -> 0.10424166508895655, yy -> 6.672250771724666, xx -> 13.59388490437712}}
{-1.2871013167499872*^6, {theta -> 1.3030126532477924, t1 -> 0.10857106029519148, t2 -> 0.10498205034158908, adm -> 0.1453017831095102, aa -> 0.06797979863184374, yy -> 6.65821643581393, xx -> 13.576701920380419}}
{-1.2824921023394587*^6, {theta -> 1.284147408641263, t1 -> 0.12871111479632447, t2 -> 0.09846506700153743, adm -> 0.13599595452875643, aa -> 0.05065872318464708, yy -> 6.702323571399437, xx -> 13.475694631823847}}
{-1.2785836210690099*^6, {theta -> 1.2853384439100275, t1 -> 0.10969440050736472, t2 -> 0.10669076417268261, adm -> 0.14801174696471991, aa -> 0.08601829262845877, yy -> 6.7941639719789135, xx -> 13.652480528759744}}
{-1.2845303834910668*^6, {theta -> 1.2788578043767798, t1 -> 0.1630994089538383, t2 -> 0.09892162896855725, adm -> 0.10706243665994669, aa -> 0.039301009985262314, yy -> 6.554675454424104, xx -> 12.982838373434468}}
{-1.28440152727066*^6, {theta -> 1.2932619847434184, t1 -> 0.09817433621485178, t2 -> 0.1166182425684765, adm -> 0.15145520235217746, aa -> 0.0908588866224641, yy -> 6.485599690019143, xx -> 13.315287743509671}}
{-1.281535222685703*^6, {theta -> 1.2926212224305924, t1 -> 0.08810328495852182, t2 -> 0.11075600278481681, adm -> 0.1652688217728177, aa -> 0.1237444217642285, yy -> 6.816015746070761, xx -> 13.748192313417867}}
{-1.2803243747409526*^6, {theta -> 1.2737492085026227, t1 -> 0.09331373577580057, t2 -> 0.11197935225837109, adm -> 0.16683890776480817, aa -> 0.09256617147387916, yy -> 6.424416931056475, xx -> 13.372659155948638}}
{-1.2668965111335942*^6, {theta -> 1.269459669568593, t1 -> 0.10057454801745364, t2 -> 0.1021575704084711, adm -> 0.1654975250545344, aa -> 0.07039546765679328, yy -> 7.1406664001669125, xx -> 13.420905759800076}}
{-1.2761412250757553*^6, {theta -> 1.294529522655585, t1 -> 0.020794262250639944, t2 -> 0.1348104893670495, adm -> 0.2233101720317761, aa -> 0.18771720694873192, yy -> 6.8415730749036845, xx -> 12.856558427982526}}
{-1.2825841283520232*^6, {theta -> 1.2673294216152355, t1 -> 0.13568789267550707, t2 -> 0.10908551271614565, adm -> 0.13932278562714637, aa -> 0.07846782929217644, yy -> 6.579040099568711, xx -> 12.974592263513685}}
{-1.2763857226954845*^6, {theta -> 1.2799040249262499, t1 -> 0.09406819109336892, t2 -> 0.11370121626083173, adm -> 0.1655107027658885, aa -> 0.115572027661313, yy -> 6.804692282924801, xx -> 13.710840878741832}}
{-1.275689528511066*^6, {theta -> 1.269630418855074, t1 -> 0.1007146785661168, t2 -> 0.11997177720221767, adm -> 0.16125338795027339, aa -> 0.10859342654341952, yy -> 6.574931577920211, xx -> 13.50864424116153}}
{-1.2747567328677513*^6, {theta -> 1.2911045090515014, t1 -> 0.08727651611541522, t2 -> 0.11150670966918627, adm -> 0.16466117122758303, aa -> 0.08955321610809605, yy -> 6.868140567436365, xx -> 13.807236367569116}}
{-1.2770759083386709*^6, {theta -> 1.2821071085576736, t1 -> 0.07897852652696971, t2 -> 0.12469798963298293, adm -> 0.17875791846616185, aa -> 0.144413808350416, yy -> 6.707680426118238, xx -> 13.760979347019482}}
{-1.2788908226836652*^6, {theta -> 1.2786432442454507, t1 -> 0.0827603853685539, t2 -> 0.11545985490720573, adm -> 0.1778202325771498, aa -> 0.12301022687306506, yy -> 6.774036703173623, xx -> 13.707882992732504}}
{-1.2755272054227092*^6, {theta -> 1.2674744315630917, t1 -> 0.0886956784732066, t2 -> 0.11974077172016491, adm -> 0.16646267568499423, aa -> 0.1206242635497152, yy -> 6.648988730962956, xx -> 13.484251716777093}}
{-1.280572730325499*^6, {theta -> 1.2659218661288845, t1 -> 0.0955229252427229, t2 -> 0.11844647579811528, adm -> 0.16818152400389622, aa -> 0.10055334559555751, yy -> 6.36692447586781, xx -> 13.286172358931768}}
{-1.2758149175995537*^6, {theta -> 1.2786449113879166, t1 -> 0.0994054574496929, t2 -> 0.11091187397461913, adm -> 0.16200997389409844, aa -> 0.09296676014213792, yy -> 6.772986302682094, xx -> 13.657253254371513}}
{-1.2865307439203958*^6, {theta -> 1.2745437772833086, t1 -> 0.11081309484609148, t2 -> 0.11753557494698648, adm -> 0.15657947501184016, aa -> 0.09201665436685304, yy -> 6.265840300575787, xx -> 13.272272747547566}}
{-1.2753543991335435*^6, {theta -> 1.303423952807679, t1 -> 0.08904381856533156, t2 -> 0.11284723981483286, adm -> 0.15503259505773415, aa -> 0.10726302566969434, yy -> 7.089883228787346, xx -> 13.855037589547134}}
{-1.2767525192935935*^6, {theta -> 1.3058040960602901, t1 -> 0.09490479088190816, t2 -> 0.11203644174890445, adm -> 0.1515437787169337, aa -> 0.09257575845904956, yy -> 6.948158447876366, xx -> 13.901553920736854}}
{-1.2749262623806042*^6, {theta -> 1.2781958911658031, t1 -> 0.09268486247086055, t2 -> 0.10918038686301747, adm -> 0.16716345149229359, aa -> 0.0770904978578707, yy -> 6.786173152466836, xx -> 13.669277016482049}}
{-1.2774595232521496*^6, {theta -> 1.2719196729259483, t1 -> 0.1311119716237113, t2 -> 0.10832911601835862, adm -> 0.13414742454786838, aa -> 0.056937378342176444, yy -> 6.573255170869237, xx -> 13.41336122970301}}
{-1.2784629712242149*^6, {theta -> 1.2769084326313156, t1 -> 0.10594565363767978, t2 -> 0.11362377352321591, adm -> 0.15501015525132966, aa -> 0.09654299214451223, yy -> 6.662908117108417, xx -> 13.53789901429977}}
{-1.2780198704818008*^6, {theta -> 1.2766596637194714, t1 -> 0.09730877496752315, t2 -> 0.11866528395170138, adm -> 0.1640802910173372, aa -> 0.10388209260127833, yy -> 6.575493431188938, xx -> 13.563139629679732}}
{-1.2802444444277408*^6, {theta -> 1.2742921854766895, t1 -> 0.1011179937096435, t2 -> 0.11530917538666097, adm -> 0.16064662529458854, aa -> 0.09992710214157928, yy -> 6.568809051179302, xx -> 13.366189964036186}}
{-1.2833383783616156*^6, {theta -> 1.2737524556882107, t1 -> 0.11864141658505759, t2 -> 0.10908949949630928, adm -> 0.14935181683853915, aa -> 0.08234268572245726, yy -> 6.510971281764851, xx -> 13.297957731213904}}
{-1.2792938664256125*^6, {theta -> 1.2729856355473776, t1 -> 0.10356941101986028, t2 -> 0.11449747170519453, adm -> 0.15850826943637875, aa -> 0.11405101889837657, yy -> 6.6643737927968445, xx -> 13.091962004085582}}
{-1.2811796163405806*^6, {theta -> 1.276038477579935, t1 -> 0.1040724727939142, t2 -> 0.10289488608182083, adm -> 0.16213005873450106, aa -> 0.07020127684128331, yy -> 6.567771447227845, xx -> 13.413721629669851}}
