{-3.5338562330026226*^6, {theta -> 0.8855458962543881, t1 -> 0.19380686135917727, t2 -> 0.9371479588897462, aa -> 0.08601912930705313, yy -> 5.169247068855064, xx -> 0.10533239629221791}}
{-3.5417354155923966*^6, {theta -> 0.9078637168653568, t1 -> 0.19871566186018072, t2 -> 0.9111743831700418, aa -> 0.09900467996754132, yy -> 5.0231727370567185, xx -> 0.16711284226521791}}
{-3.526967947607587*^6, {theta -> 0.900497432178585, t1 -> 0.1801271595101281, t2 -> 0.9478886089000679, aa -> 0.16202736788404257, yy -> 5.532509000727835, xx -> 0.1559235976966425}}
{-3.537793222951287*^6, {theta -> 0.9077984189718729, t1 -> 0.2005435856492232, t2 -> 0.8739665571590997, aa -> 0.05102226622096017, yy -> 5.2454912605138215, xx -> 0.1}}
{-3.5371007873202013*^6, {theta -> 0.9846746076669114, t1 -> 0.2040699379985005, t2 -> 0.7110535214297478, aa -> 0.05267502507445182, yy -> 5.468343641565672, xx -> 0.14865331857273045}}
{-3.5299894734163797*^6, {theta -> 0.9006821161807228, t1 -> 0.14098873698366238, t2 -> 0.9828195426588822, aa -> 0.1491884114083671, yy -> 6.67200737137243, xx -> 0.1561425305226783}}
{-3.536902212001472*^6, {theta -> 0.8824227413375136, t1 -> 0.18537959276525823, t2 -> 0.9576875437639463, aa -> 0.06532385416220125, yy -> 5.316221441623464, xx -> 0.10004344540481723}}
{-3.5356114620380355*^6, {theta -> 0.9268114142810081, t1 -> 0.13130084881075238, t2 -> 0.9516165279167417, aa -> 0.10121460245103912, yy -> 7.233469666941948, xx -> 0.15573594441721322}}
{-3.540155186456535*^6, {theta -> 0.9064662220241634, t1 -> 0.18577630490786803, t2 -> 0.9034968397254483, aa -> 0.05038865172857761, yy -> 5.308066841474482, xx -> 0.1084879459874044}}
{-3.528189665521725*^6, {theta -> 0.8753882145762889, t1 -> 0.19760279689505128, t2 -> 0.9618402372414836, aa -> 0.08741609812753373, yy -> 5.0916678338604076, xx -> 0.125693401525466}}
{-3.532991445198264*^6, {theta -> 0.8904683980960565, t1 -> 0.19013457903338518, t2 -> 0.9539387890134162, aa -> 0.1066317287694264, yy -> 5.095725231876607, xx -> 0.15986835078939646}}
{-3.545981461613873*^6, {theta -> 0.904892770802777, t1 -> 0.17560577449837342, t2 -> 0.8913891546170718, aa -> 0.03643765681959302, yy -> 5.447350833656264, xx -> 0.109850141548364}}
{-3.5407627999054627*^6, {theta -> 0.9886841379241607, t1 -> 0.21791815058297406, t2 -> 0.6932088109571622, aa -> 0.08271438985918828, yy -> 5., xx -> 0.13695657179851867}}
{-3.5397570939679584*^6, {theta -> 0.9085034513756901, t1 -> 0.1809216692022766, t2 -> 0.9221683491480588, aa -> 0.07807515787286003, yy -> 5.3688795175200585, xx -> 0.16532436509837659}}
{-3.5319791784704677*^6, {theta -> 0.8799632828877455, t1 -> 0.13999844494628128, t2 -> 1.0234819387607919, aa -> 0.05532920026567169, yy -> 7.020347492949007, xx -> 0.1608578016265179}}
{-3.5345321446762905*^6, {theta -> 0.8952596492077386, t1 -> 0.18433830539659146, t2 -> 0.9505586956116417, aa -> 0.1148236711177758, yy -> 5.282461093776963, xx -> 0.15659743550556343}}
{-3.5351983757860903*^6, {theta -> 0.921469078196534, t1 -> 0.12591679342014825, t2 -> 0.9338051864887829, aa -> 0.022149888243585398, yy -> 7.848814365188618, xx -> 0.1425573404735123}}
{-3.5349545177124757*^6, {theta -> 0.9073457758166383, t1 -> 0.1978122924530038, t2 -> 0.9066908615124443, aa -> 0.12410850932918002, yy -> 5.012984296480894, xx -> 0.15668137414816558}}
{-3.540288894058052*^6, {theta -> 0.8990636930180683, t1 -> 0.18300290964507343, t2 -> 0.9467397483629869, aa -> 0.10467893562000802, yy -> 5.252393759764214, xx -> 0.16126783139693596}}
{-3.525356730661519*^6, {theta -> 0.8910193760084779, t1 -> 0.15340179763818318, t2 -> 0.9872533093974905, aa -> 0.05275228801385451, yy -> 6.56058268944507, xx -> 0.1542908429959946}}
{-3.5263299415410073*^6, {theta -> 0.9000436413475017, t1 -> 0.16032858253170457, t2 -> 0.966698797864715, aa -> 0.12155641144346546, yy -> 6.222965704934961, xx -> 0.15652215869571234}}
{-3.535819450322914*^6, {theta -> 0.897991488386949, t1 -> 0.1948938627872845, t2 -> 0.9386117148501298, aa -> 0.13714623477115026, yy -> 5.00714650307955, xx -> 0.15987090447923985}}
{-3.527414091049577*^6, {theta -> 0.8981810069412519, t1 -> 0.1338895679501288, t2 -> 0.962087277633497, aa -> 0.010190540711391811, yy -> 7.593202506935683, xx -> 0.12145619302705846}}
{-3.534101752104722*^6, {theta -> 0.8871257339884673, t1 -> 0.13111059848816486, t2 -> 1.015384315951631, aa -> 0.06824676709884284, yy -> 7.4028828794284625, xx -> 0.12784176365002048}}
{-3.5363011817272455*^6, {theta -> 0.906366229767591, t1 -> 0.15833278427785866, t2 -> 0.9591129466869266, aa -> 0.12005556463966827, yy -> 6.123351001934132, xx -> 0.1531499775943713}}
{-3.523772213897413*^6, {theta -> 0.8885046518371614, t1 -> 0.18994228658741288, t2 -> 0.9527266082911408, aa -> 0.11417122914225927, yy -> 5.29826137236852, xx -> 0.15587758095707785}}
{-3.5273735980006224*^6, {theta -> 0.8818297963589871, t1 -> 0.1825080306556555, t2 -> 1.010124882484425, aa -> 0.10134678062809932, yy -> 5.4329146785747415, xx -> 0.17346229449355052}}
{-3.5297207463633167*^6, {theta -> 0.890130078202555, t1 -> 0.17703383374606263, t2 -> 0.9689419128240411, aa -> 0.13734296355770717, yy -> 5.464657332148997, xx -> 0.15636339802803412}}
{-3.5492887953592716*^6, {theta -> 1.000799302246675, t1 -> 0.1990554131781648, t2 -> 0.7247696008987595, aa -> 0.07002093989247613, yy -> 5.089505544247046, xx -> 0.16885043249204415}}
{-3.533945433087433*^6, {theta -> 0.9682389113090373, t1 -> 0.11486642993804222, t2 -> 0.8580252473317422, aa -> 0.08843474035397504, yy -> 8., xx -> 0.13223457180607706}}
{-3.5384966807452342*^6, {theta -> 0.9740803998783009, t1 -> 0.15831360975028502, t2 -> 0.7982555754868428, aa -> 0.049964177645593105, yy -> 6.632037273057048, xx -> 0.13094026116275004}}
