{-1.1701916689677313*^7, {theta -> 2.8976189670479506, t1 -> 0.09221341000945497, t2 -> 0.9169481872865468, aa -> 0.9422185068194612, yy -> 2.516882299897268, xx -> 0.11745302404205057}}
{-1.1795226381814886*^7, {theta -> 2.7342407769240697, t1 -> 0.09623499422727695, t2 -> 0.9292787532716202, aa -> 0.8991633476664751, yy -> 2.341701121865503, xx -> 0.048588206696186874}}
{-1.1693899825207898*^7, {theta -> 2.9, t1 -> 0.09034514081922838, t2 -> 1.023461959865351, aa -> 0.9407817012510555, yy -> 2.5050104163478153, xx -> 0.011951611134392005}}
{-1.168695111696947*^7, {theta -> 2.8990940454796403, t1 -> 0.091540730258301, t2 -> 1.022463478885939, aa -> 0.9409866682333877, yy -> 2.5252503379854074, xx -> 0.011607594722223325}}
{-1.1751468212194972*^7, {theta -> 2.6086211991502752, t1 -> 0.09630232900516372, t2 -> 0.8541335296279506, aa -> 0.887913750872016, yy -> 2.2497136556429522, xx -> 0.031115050412294495}}
{-1.1705635957037393*^7, {theta -> 2.8831201423461383, t1 -> 0.08659766370338298, t2 -> 0.7326974957492762, aa -> 0.9061961557704605, yy -> 2.5082545419137734, xx -> 0.013632928584085999}}
{-1.1778785558122233*^7, {theta -> 2.64467396604629, t1 -> 0.0978076600001434, t2 -> 0.9362269723038026, aa -> 0.8752925564066458, yy -> 2.285117865685904, xx -> 0.103262194502685}}
{-1.1782262019491976*^7, {theta -> 2.716877781922536, t1 -> 0.0981987113096702, t2 -> 0.9770746991010414, aa -> 0.8796256566821896, yy -> 2.38056069861769, xx -> 0.15996068179132975}}
{-1.1688171700732743*^7, {theta -> 2.8570281065376815, t1 -> 0.0920780204327216, t2 -> 1.031075516591477, aa -> 0.9417987785971413, yy -> 2.4745124496503896, xx -> 0.011176384645467736}}
{-1.1770610688590879*^7, {theta -> 2.886586270764443, t1 -> 0.09274947864647479, t2 -> 1.1999224430224955, aa -> 0.9303955032300237, yy -> 2.482537573367117, xx -> 0.010887696506656946}}
{-1.1643300430842802*^7, {theta -> 2.88942934741569, t1 -> 0.08854856548554005, t2 -> 0.8648655551541107, aa -> 0.9548527028694638, yy -> 2.4918407741602717, xx -> 0.08009873593535091}}
{-1.1793121607816283*^7, {theta -> 2.7709467709931683, t1 -> 0.09384516583464912, t2 -> 0.9194030477060613, aa -> 0.8996149386725327, yy -> 2.392738809270525, xx -> 0.024985772376531504}}
{-1.1653895417735416*^7, {theta -> 2.8994941524317257, t1 -> 0.08718483402021604, t2 -> 0.7471969946422904, aa -> 0.933764994360944, yy -> 2.5225267781756266, xx -> 0.038059524989659546}}
{-1.1727977146012224*^7, {theta -> 2.5054204119752645, t1 -> 0.103590808502852, t2 -> 1.1824665618951564, aa -> 0.92238043418568, yy -> 2.1603875577761116, xx -> 0.019142700430435464}}
{-1.181840470465475*^7, {theta -> 2.7870947920590323, t1 -> 0.09505803856428263, t2 -> 0.9275597068197543, aa -> 0.9081525797696763, yy -> 2.393064475104506, xx -> 0.07245243233762708}}
{-1.1777630432857852*^7, {theta -> 2.3227560529023497, t1 -> 0.10635494959989625, t2 -> 1.0552221017904606, aa -> 0.8686535110539471, yy -> 2.0144404758416607, xx -> 0.013758448658470243}}
{-1.1729630016154252*^7, {theta -> 2.8842572954484655, t1 -> 0.09207789904548792, t2 -> 1.0250143433196814, aa -> 0.9380171440355876, yy -> 2.5070219176604303, xx -> 0.017167809633578564}}
{-1.1823017788514419*^7, {theta -> 2.6565461095952454, t1 -> 0.09724318550413429, t2 -> 0.9518625270944594, aa -> 0.9080907535291325, yy -> 2.25445512583255, xx -> 0.03330698727509214}}
{-1.17739214413354*^7, {theta -> 2.510448538268083, t1 -> 0.10533102761035007, t2 -> 0.9036613289750386, aa -> 0.8939835220517399, yy -> 2.2124234351978256, xx -> 0.104685055355297}}
{-1.1580388580056218*^7, {theta -> 2.8999998747717997, t1 -> 0.0897096120359089, t2 -> 0.6873708309603759, aa -> 0.9701417156250096, yy -> 2.5204983932727774, xx -> 0.01371308783855109}}
{-1.166759698598692*^7, {theta -> 2.899686376063588, t1 -> 0.08991876347234354, t2 -> 1.1638129007586866, aa -> 0.9552312309935691, yy -> 2.5069532460129738, xx -> 0.015070862965870978}}
{-1.1744635508465666*^7, {theta -> 2.83063896688172, t1 -> 0.09497908019588373, t2 -> 1.0815112731425587, aa -> 0.9147385954946938, yy -> 2.4685034877513825, xx -> 0.031766406117021265}}
{-1.1725211864258055*^7, {theta -> 2.886339332266598, t1 -> 0.09034018682578679, t2 -> 0.9962949604416392, aa -> 0.9188846020872968, yy -> 2.5076960687442873, xx -> 0.012675866122494522}}
{-1.1754802025706435*^7, {theta -> 2.8814587276686368, t1 -> 0.09025307474590587, t2 -> 0.919567560688002, aa -> 0.9238293600049062, yy -> 2.4746746481643136, xx -> 0.017552138314580402}}
{-1.1807161765687026*^7, {theta -> 2.4875680000260214, t1 -> 0.09975508593635721, t2 -> 0.9588524392999171, aa -> 0.8788064587394016, yy -> 2.1348829316789883, xx -> 0.08123756147984232}}
{-1.1798252283528408*^7, {theta -> 2.3018993825584833, t1 -> 0.11030694285492063, t2 -> 1.0346001929494013, aa -> 0.8601244322195056, yy -> 1.9968828066735909, xx -> 0.01}}
{-1.1767497809470434*^7, {theta -> 2.451763556493634, t1 -> 0.10131026687271964, t2 -> 0.9149597120428642, aa -> 0.8777110488635802, yy -> 2.117041774983445, xx -> 0.03995376317472319}}
{-1.1788223582021404*^7, {theta -> 2.340243900869268, t1 -> 0.10667339792919028, t2 -> 0.9642063992132798, aa -> 0.8884273063315752, yy -> 2.0054351805795285, xx -> 0.037457901127478356}}
{-1.1733441162542662*^7, {theta -> 2.855933151643055, t1 -> 0.08748021150881054, t2 -> 1.0438768859824552, aa -> 0.9257293567142924, yy -> 2.4165787947651474, xx -> 0.04296842300180892}}
{-1.180905205219705*^7, {theta -> 2.8996236419647436, t1 -> 0.09660917855561235, t2 -> 1.0059569392969872, aa -> 0.9265015552449652, yy -> 2.509946480180573, xx -> 0.09138303369768896}}
{-1.1783440508806638*^7, {theta -> 2.5166007119226306, t1 -> 0.10117178608823171, t2 -> 1.0095566216307226, aa -> 0.8808631036393346, yy -> 2.1636026432966986, xx -> 0.01625436970839336}}
{-1.1716133823112514*^7, {theta -> 2.879318743885228, t1 -> 0.09219714738512155, t2 -> 0.787695095173944, aa -> 0.9124699947332495, yy -> 2.51013070814547, xx -> 0.09830849603918035}}
{-1.1808014232995175*^7, {theta -> 2.5846152298722376, t1 -> 0.09728399042938277, t2 -> 0.8618583061357928, aa -> 0.8749936872050224, yy -> 2.2242101208656995, xx -> 0.028027658424258764}}
{-1.1772898325859688*^7, {theta -> 2.472703539745281, t1 -> 0.10122822515516967, t2 -> 0.9816046427455274, aa -> 0.8686809731932967, yy -> 2.144948916802254, xx -> 0.09385701291509338}}
{-1.1729268534238927*^7, {theta -> 2.8930510700698973, t1 -> 0.09251220554806822, t2 -> 1.1581295369598095, aa -> 0.928790602952883, yy -> 2.516051679286714, xx -> 0.014274756363087148}}
{-1.1711962492868531*^7, {theta -> 2.8987884725725515, t1 -> 0.0901233427915418, t2 -> 0.9290800957162924, aa -> 0.9240958338204472, yy -> 2.5194217058028006, xx -> 0.013163172565448772}}
{-1.174699447826655*^7, {theta -> 2.6244843034173164, t1 -> 0.10406173947356522, t2 -> 1.1997407026445572, aa -> 0.9218335707274213, yy -> 2.274221144685604, xx -> 0.04009047493659026}}
{-1.1634418389561653*^7, {theta -> 2.899693783195452, t1 -> 0.08847715673408013, t2 -> 0.9437380288528008, aa -> 0.9588032262147207, yy -> 2.484603258233516, xx -> 0.014560225399638034}}
{-1.1704831260877486*^7, {theta -> 2.700343759691382, t1 -> 0.09002602889238627, t2 -> 0.8071438007323961, aa -> 0.9124953029649229, yy -> 2.322592991062979, xx -> 0.014020118792588647}}
{-1.17095199884674*^7, {theta -> 2.893783072105456, t1 -> 0.08714297445953081, t2 -> 0.7215455877538317, aa -> 0.9068734845371091, yy -> 2.505167786991792, xx -> 0.028547451817146244}}
{-1.172309417461807*^7, {theta -> 2.8090591044460322, t1 -> 0.08901522789233011, t2 -> 0.8175283633998214, aa -> 0.9049853707431568, yy -> 2.4279775289460828, xx -> 0.012564153768230828}}
{-1.1693965344055371*^7, {theta -> 2.860259226233172, t1 -> 0.09126986050602953, t2 -> 1.047634177794168, aa -> 0.9420684786208885, yy -> 2.463578892333402, xx -> 0.011679656866379423}}
{-1.1717080952601302*^7, {theta -> 2.822534423479069, t1 -> 0.09104847042576258, t2 -> 0.9645042904246237, aa -> 0.9113267424349221, yy -> 2.4629901263236453, xx -> 0.023906534189910195}}
{-1.171189729128046*^7, {theta -> 2.741784250833073, t1 -> 0.09378085181619437, t2 -> 0.8015279832493293, aa -> 0.9102689845496119, yy -> 2.3570569251935862, xx -> 0.08653410121907659}}
{-1.1660342765334647*^7, {theta -> 2.89932849327462, t1 -> 0.09063467020316393, t2 -> 0.9974186457892245, aa -> 0.9486802734883494, yy -> 2.520118060122859, xx -> 0.010252997707653857}}
{-1.1682831988498665*^7, {theta -> 2.7706080289224775, t1 -> 0.09269250390191747, t2 -> 0.9263184766970998, aa -> 0.9334971468927915, yy -> 2.3904770212494024, xx -> 0.01058381609375526}}
{-1.163871812170891*^7, {theta -> 2.9, t1 -> 0.08690853081947876, t2 -> 0.7838012132344717, aa -> 0.9544261875233827, yy -> 2.478920424004208, xx -> 0.016282616466715232}}
{-1.182084071655098*^7, {theta -> 2.5600336042433747, t1 -> 0.10038401651630288, t2 -> 0.9738664557606673, aa -> 0.9038175515884501, yy -> 2.2019172848103112, xx -> 0.01}}
{-1.174694751036933*^7, {theta -> 2.6148428667068364, t1 -> 0.09883685098185324, t2 -> 0.9303561983654733, aa -> 0.8986899047727724, yy -> 2.2842212640686848, xx -> 0.01119289797250619}}
{-1.1749348645925026*^7, {theta -> 2.6191344746451226, t1 -> 0.09822321269378202, t2 -> 1.178667328818634, aa -> 0.917226608383086, yy -> 2.244514400061826, xx -> 0.011191000852855229}}
{-1.1751665412963852*^7, {theta -> 2.8451012559273465, t1 -> 0.09332419572973072, t2 -> 0.959838240801062, aa -> 0.9229329017547545, yy -> 2.4694101531000334, xx -> 0.03633743594777861}}
{-1.1825045425164983*^7, {theta -> 2.6941647240781768, t1 -> 0.09396696383111688, t2 -> 0.8390908495690586, aa -> 0.8653058454267644, yy -> 2.3221575252163675, xx -> 0.011079472502141696}}
{-1.1794846496754127*^7, {theta -> 2.413099158192684, t1 -> 0.10491029890192784, t2 -> 1.006832761269207, aa -> 0.8618798020630993, yy -> 2.1020667530685784, xx -> 0.03202663061658733}}
{-1.1671411043149179*^7, {theta -> 2.8965165950492513, t1 -> 0.09158758968598602, t2 -> 1.18778757743466, aa -> 0.9565548476414891, yy -> 2.5019775340888444, xx -> 0.017680693030143014}}
{-1.1752769407725494*^7, {theta -> 2.8155373127703562, t1 -> 0.09201952672454727, t2 -> 0.9406222320956209, aa -> 0.9200158469409683, yy -> 2.4413867104596374, xx -> 0.03687792105357584}}
{-1.1690175943125535*^7, {theta -> 2.7813626456573095, t1 -> 0.0944795782667036, t2 -> 1.0067607167511687, aa -> 0.9365483807630339, yy -> 2.4158510625400895, xx -> 0.012838628046794672}}
{-1.1614057336428232*^7, {theta -> 2.845724952686247, t1 -> 0.09217464730431796, t2 -> 1.185112154129433, aa -> 0.971229910506429, yy -> 2.4584800912008116, xx -> 0.01070500324264658}}
{-1.1690707710529005*^7, {theta -> 2.6941888320624106, t1 -> 0.09486521704929395, t2 -> 1.0536843340024522, aa -> 0.9394572989425084, yy -> 2.3085590214544864, xx -> 0.017782002690543988}}
{-1.176714391497033*^7, {theta -> 2.410217931467338, t1 -> 0.10400239731726488, t2 -> 0.9085193620055807, aa -> 0.8728076421882802, yy -> 2.0880294342717187, xx -> 0.048902130590777255}}
{-1.1805986610173995*^7, {theta -> 2.847989550599968, t1 -> 0.08687926591459512, t2 -> 0.8117753881159868, aa -> 0.8412544463833094, yy -> 2.4728669717569858, xx -> 0.1203031275263364}}
{-1.1660527613095444*^7, {theta -> 2.899716059304387, t1 -> 0.09003590009131876, t2 -> 0.8717547889647113, aa -> 0.9397067625511111, yy -> 2.520584205977456, xx -> 0.03555341975463728}}
{-1.1733833091303712*^7, {theta -> 2.8769394302557805, t1 -> 0.09258794424496394, t2 -> 1.1947680146982307, aa -> 0.9335710576556797, yy -> 2.491515403304124, xx -> 0.01}}
{-1.1729847189950611*^7, {theta -> 2.6502390021883944, t1 -> 0.09437481621897409, t2 -> 0.815596831940563, aa -> 0.8980232829726983, yy -> 2.270642287930773, xx -> 0.17969408325156117}}
{-1.1753053300954014*^7, {theta -> 2.6762692459271973, t1 -> 0.09558724029050528, t2 -> 0.8193676633985982, aa -> 0.9104243792621373, yy -> 2.2920993881007536, xx -> 0.030679126942256586}}
{-1.1691745389208887*^7, {theta -> 2.893292493642009, t1 -> 0.09061916575479698, t2 -> 0.9329898170826885, aa -> 0.9373507077155904, yy -> 2.5153998545489262, xx -> 0.01837308016508457}}
{-1.1732622053906411*^7, {theta -> 2.5179613093523874, t1 -> 0.09986172162991422, t2 -> 0.8197398695931168, aa -> 0.9182335612815691, yy -> 2.1550810313488133, xx -> 0.025499825071833244}}
{-1.168704299970262*^7, {theta -> 2.8949499457151116, t1 -> 0.0909092971764565, t2 -> 0.9096847076302097, aa -> 0.936195224430694, yy -> 2.52356567221261, xx -> 0.026421611178831527}}
{-1.1896503068970498*^7, {theta -> 2.7347686853749917, t1 -> 0.09502461085058968, t2 -> 0.9168990450534376, aa -> 0.8885962000555759, yy -> 2.348396906890514, xx -> 0.01}}
{-1.1639411433400268*^7, {theta -> 2.8915581042824883, t1 -> 0.08735288621529683, t2 -> 0.6699456185462109, aa -> 0.942423003101239, yy -> 2.49235833874004, xx -> 0.052141147545209876}}
