{{-3.429767538685018*^6, {theta -> 0.6447971708208795, t1 -> 0.30634901485562605, t2 -> 0.9026029982158728, yy -> 0.5860592648906129, xx -> 2.1318293739437424}}}
{{-3.4276160947840945*^6, {theta -> 0.6934923499860497, t1 -> 0.2901589716893175, t2 -> 0.8425074505429397, yy -> 0.6358156029476045, xx -> 2.1623409272806646}}}
{{-3.4228110405815723*^6, {theta -> 0.7158506840028165, t1 -> 0.2807551642993078, t2 -> 0.8233561790466872, yy -> 0.6640631651575102, xx -> 2.2849870161005836}}}
{{-3.428783961456142*^6, {theta -> 0.7176966542048904, t1 -> 0.2931622015884122, t2 -> 0.8071409195617606, yy -> 0.6655324817243145, xx -> 2.1616862498771106}}}
{{-3.4252215495397253*^6, {theta -> 0.6459531193031621, t1 -> 0.31490949017159237, t2 -> 0.891367977026244, yy -> 0.5898243687327278, xx -> 2.174199432184645}}}
{{-3.424454423760018*^6, {theta -> 0.7012610746118961, t1 -> 0.29713391180006704, t2 -> 0.8195500967152258, yy -> 0.6546536753349493, xx -> 2.211639708281746}}}
{{-3.421867250225297*^6, {theta -> 0.6472851115467272, t1 -> 0.2977723107869001, t2 -> 0.904953481277114, yy -> 0.5893457533522535, xx -> 2.295554570978831}}}
{{-3.42132384552903*^6, {theta -> 0.6825368560719791, t1 -> 0.28657712351505593, t2 -> 0.8706333791907324, yy -> 0.6211670118601802, xx -> 2.2834967461389186}}}
{{-3.430987733784534*^6, {theta -> 0.7288955134248215, t1 -> 0.29276365311663977, t2 -> 0.8056089945773742, yy -> 0.6777137402161602, xx -> 2.2153624676836725}}}
{{-3.422785408714483*^6, {theta -> 0.6454731813801065, t1 -> 0.31124865596196544, t2 -> 0.9015622139017018, yy -> 0.5909244757783628, xx -> 2.127027447956398}}}
{{-3.4189332138363123*^6, {theta -> 0.7095955897349079, t1 -> 0.29389329575714923, t2 -> 0.8176361276356755, yy -> 0.6523703649387219, xx -> 2.3569047316965963}}}
{{-3.420603680489587*^6, {theta -> 0.6764140056978367, t1 -> 0.30791263395965157, t2 -> 0.8560762524039294, yy -> 0.6245107844042712, xx -> 2.1722954049886813}}}
{{-3.423282655886315*^6, {theta -> 0.7095249138300943, t1 -> 0.2963648650698535, t2 -> 0.8239322236912779, yy -> 0.6575943667252871, xx -> 2.234409486926773}}}
{{-3.425943716013724*^6, {theta -> 0.7242101259316951, t1 -> 0.2834879128552432, t2 -> 0.8111760559599421, yy -> 0.6703138470331043, xx -> 2.265372150183168}}}
{{-3.4210859850502554*^6, {theta -> 0.6469659800425203, t1 -> 0.30596064942326395, t2 -> 0.9062581353844985, yy -> 0.5921395461035633, xx -> 2.20065659429237}}}
{{-3.4238968745414503*^6, {theta -> 0.7067130778227227, t1 -> 0.2912933646577661, t2 -> 0.8213097916233718, yy -> 0.6536625476586517, xx -> 2.254179222993333}}}
{{-3.4207464473632444*^6, {theta -> 0.6803701993958378, t1 -> 0.27770845410371575, t2 -> 0.8478075505281613, yy -> 0.6219359765370324, xx -> 2.4866915239230156}}}
{{-3.429530628564813*^6, {theta -> 0.72778953684831, t1 -> 0.2873431417085795, t2 -> 0.7961587625077831, yy -> 0.6707048953839543, xx -> 2.2818489483199675}}}
{{-3.420953210472837*^6, {theta -> 0.7290279065854537, t1 -> 0.2699724823473825, t2 -> 0.8178100345798984, yy -> 0.6725522466394893, xx -> 2.4583259156675887}}}
{{-3.4250149714615815*^6, {theta -> 0.7106621071146966, t1 -> 0.2893547505851817, t2 -> 0.8240788621611177, yy -> 0.6573107639434879, xx -> 2.254806013406015}}}
{{-3.4220628109921794*^6, {theta -> 0.6463814205657485, t1 -> 0.309241645994196, t2 -> 0.8951510574904695, yy -> 0.5910138829708322, xx -> 2.220771737535779}}}
{{-3.4268225474958764*^6, {theta -> 0.6999922907806347, t1 -> 0.28970771131870593, t2 -> 0.8219601699150405, yy -> 0.6411440478681213, xx -> 2.301155434450116}}}
{{-3.4261542228886364*^6, {theta -> 0.7265778829227435, t1 -> 0.2936362541454654, t2 -> 0.7895407309408171, yy -> 0.67615264248425, xx -> 2.203116423908944}}}
{{-3.415786505534633*^6, {theta -> 0.6904534219754335, t1 -> 0.29459741762873415, t2 -> 0.862117018780174, yy -> 0.6379757804218359, xx -> 2.286129861280084}}}
{{-3.424551236030805*^6, {theta -> 0.6627477333404341, t1 -> 0.30379639154302723, t2 -> 0.8736437188074012, yy -> 0.6072738470039627, xx -> 2.2747329983548497}}}
{{-3.426140540628326*^6, {theta -> 0.6445441436303947, t1 -> 0.307852318276314, t2 -> 0.9005396612163501, yy -> 0.5895895120388559, xx -> 2.1349416940612915}}}
{{-3.414774425402333*^6, {theta -> 0.6496732413991146, t1 -> 0.3128992790869264, t2 -> 0.8897434501777618, yy -> 0.5921265433051086, xx -> 2.3231344954011672}}}
{{-3.4228392509144563*^6, {theta -> 0.6767596707233491, t1 -> 0.2877390477468272, t2 -> 0.8539694334620046, yy -> 0.6213854212747696, xx -> 2.3491097198321826}}}
{{-3.4234073711568685*^6, {theta -> 0.7196273185785915, t1 -> 0.2926633726800638, t2 -> 0.8257381107358194, yy -> 0.6737801907774394, xx -> 2.200529788722898}}}
{{-3.4256394643615833*^6, {theta -> 0.71995865028653, t1 -> 0.29307295551865126, t2 -> 0.8026515438354563, yy -> 0.6651247057784635, xx -> 2.324298644441857}}}
{{-3.4287881361643886*^6, {theta -> 0.6518438212329625, t1 -> 0.29962950422577067, t2 -> 0.9021820912171279, yy -> 0.5911422529782341, xx -> 2.1350123099075726}}}
{{-3.4231818368032854*^6, {theta -> 0.6984374749941757, t1 -> 0.2995737092001435, t2 -> 0.8294641747672924, yy -> 0.6449385466020394, xx -> 2.200055729465329}}}
{{-3.4272971026292434*^6, {theta -> 0.6444014160529498, t1 -> 0.31297422359394644, t2 -> 0.895779874441098, yy -> 0.5869519277618338, xx -> 2.103886043056358}}}
{{-3.4300875391406557*^6, {theta -> 0.6487334837542617, t1 -> 0.30688263026046225, t2 -> 0.8974305728058186, yy -> 0.5964281880872326, xx -> 2.0610366460021643}}}
{{-3.424653751101294*^6, {theta -> 0.7015120562598152, t1 -> 0.29599483196671966, t2 -> 0.8273396896078722, yy -> 0.6493748643221858, xx -> 2.1785465931752115}}}
{{-3.424318524668169*^6, {theta -> 0.6928552010200071, t1 -> 0.3037204930890925, t2 -> 0.8289756495490553, yy -> 0.6390897865302667, xx -> 2.118905624754138}}}
{{-3.4251037847284656*^6, {theta -> 0.7174959967692945, t1 -> 0.29015148109142647, t2 -> 0.8133628327911855, yy -> 0.664363703223219, xx -> 2.252429819867952}}}
{{-3.4187733003827725*^6, {theta -> 0.6469882225431203, t1 -> 0.3115074171847977, t2 -> 0.8977040045177721, yy -> 0.5920434487986821, xx -> 2.203997795487189}}}
{{-3.4270978677470954*^6, {theta -> 0.7215256760846885, t1 -> 0.28942514004771047, t2 -> 0.8104713733309017, yy -> 0.6667271493219455, xx -> 2.271389922179847}}}
{{-3.4267132553743413*^6, {theta -> 0.721483641478756, t1 -> 0.29485378342228363, t2 -> 0.8033111664259237, yy -> 0.6649219045216357, xx -> 2.316196402347586}}}
{{-3.421004936887935*^6, {theta -> 0.646905204873198, t1 -> 0.3063039192855138, t2 -> 0.897891308571055, yy -> 0.5911305251082881, xx -> 2.2518601213594764}}}
{{-3.424189681669166*^6, {theta -> 0.713885509376767, t1 -> 0.289767339239445, t2 -> 0.8149046632882385, yy -> 0.6576026772423536, xx -> 2.2684715866466103}}}
{{-3.42640373733717*^6, {theta -> 0.7002464039460472, t1 -> 0.29832073141387855, t2 -> 0.846276969557419, yy -> 0.6437444408713631, xx -> 2.2128970210469894}}}
{{-3.422924490815228*^6, {theta -> 0.7268042567090338, t1 -> 0.2834462537809211, t2 -> 0.8177373343509328, yy -> 0.6745795673256636, xx -> 2.358387097917102}}}
{{-3.420804169445136*^6, {theta -> 0.6774131965396295, t1 -> 0.3160103228512419, t2 -> 0.8326430916145665, yy -> 0.6250716818024874, xx -> 2.1091066440013777}}}
{{-3.4208859866704233*^6, {theta -> 0.7132536623279034, t1 -> 0.29529305495323505, t2 -> 0.8192805699479734, yy -> 0.6670746616622424, xx -> 2.231199705961846}}}
{{-3.424075792379885*^6, {theta -> 0.7089985720691914, t1 -> 0.29452948641555304, t2 -> 0.8212900562327248, yy -> 0.6551319971417964, xx -> 2.2810757025392414}}}
{{-3.418219755527869*^6, {theta -> 0.6906021871798843, t1 -> 0.3034182606363509, t2 -> 0.8496184147338379, yy -> 0.6410200044272978, xx -> 2.184865820702674}}}
{{-3.429505715890944*^6, {theta -> 0.719484771188594, t1 -> 0.30429995050123193, t2 -> 0.794944150530585, yy -> 0.6687119151282925, xx -> 2.142266774818505}}}
{{-3.426995073059436*^6, {theta -> 0.7109755106701103, t1 -> 0.3005171692133133, t2 -> 0.8042963891252383, yy -> 0.6689847697662994, xx -> 2.1838579190613476}}}
{{-3.427155356547672*^6, {theta -> 0.7299080429305609, t1 -> 0.280577193095527, t2 -> 0.8089017861279665, yy -> 0.6756108799413139, xx -> 2.3541136343511795}}}
{{-3.4196922669219645*^6, {theta -> 0.6744474952295209, t1 -> 0.3075690166315762, t2 -> 0.8648434298113858, yy -> 0.636128433067556, xx -> 2.0891005497553814}}}
{{-3.421443531304382*^6, {theta -> 0.7129414726077539, t1 -> 0.30573968433565435, t2 -> 0.8129268699775634, yy -> 0.663598835164021, xx -> 2.2035834554013385}}}
{{-3.427492276606746*^6, {theta -> 0.7062577589936712, t1 -> 0.29791278572383645, t2 -> 0.8264175472306059, yy -> 0.6537159050964626, xx -> 2.1321647225034868}}}
{{-3.4291998016475476*^6, {theta -> 0.7213899837981212, t1 -> 0.2840655845033208, t2 -> 0.8077319683904993, yy -> 0.6647853124313491, xx -> 2.260211024942004}}}
{{-3.4333408558400646*^6, {theta -> 0.6427390320534789, t1 -> 0.3122649964175219, t2 -> 0.892467179252505, yy -> 0.5837549299012132, xx -> 2.070750508236584}}}
{{-3.423933578188155*^6, {theta -> 0.728846352266104, t1 -> 0.2918557080777137, t2 -> 0.8044852091073783, yy -> 0.6795139098673073, xx -> 2.2779919733406766}}}
{{-3.4253544639864746*^6, {theta -> 0.659182786962245, t1 -> 0.28402868806157516, t2 -> 0.9046643070540168, yy -> 0.6085290134294901, xx -> 2.34400453887706}}}
{{-3.4250951170887435*^6, {theta -> 0.645235973747208, t1 -> 0.3117560129947402, t2 -> 0.9018841445463923, yy -> 0.589494096706367, xx -> 2.106684081386482}}}
{{-3.426509652018116*^6, {theta -> 0.6467330298627767, t1 -> 0.309745607587093, t2 -> 0.9014877264846652, yy -> 0.5911593216035437, xx -> 2.1843328964356514}}}
{{-3.4233856489899885*^6, {theta -> 0.710930488788549, t1 -> 0.29545450110490634, t2 -> 0.8200704294576793, yy -> 0.6626672547582662, xx -> 2.2036684464879834}}}
{{-3.430111639162123*^6, {theta -> 0.7194671061137047, t1 -> 0.2910105867078293, t2 -> 0.8098663690092218, yy -> 0.6657846029753028, xx -> 2.1731015944026324}}}
{{-3.4232144950789725*^6, {theta -> 0.7316880229252894, t1 -> 0.2780788202889437, t2 -> 0.8030626525155601, yy -> 0.679050241420036, xx -> 2.3325850190498176}}}
{{-3.4222887838806855*^6, {theta -> 0.7140717463155785, t1 -> 0.2868290153832961, t2 -> 0.8163545683939073, yy -> 0.6589470306545131, xx -> 2.3226275851068716}}}
{{-3.4184143571276795*^6, {theta -> 0.6738865615911379, t1 -> 0.3092963257358273, t2 -> 0.8550783339076434, yy -> 0.6332731649050006, xx -> 2.217184495696342}}}
