{{-5.073462188217758*^6, {theta -> 0.9044023899508263, t1 -> 0.2960729612738761, t2 -> 0.6510882097878508, yy -> 0.181020637904609, xx -> 0.2725556563311637}}}
{{-5.066957071462842*^6, {theta -> 0.9052499396898885, t1 -> 0.34939140965323273, t2 -> 0.606118298538654, yy -> 0.10134684668059009, xx -> 0.3150559866660881}}}
{{-5.067738288200276*^6, {theta -> 0.9062542606088266, t1 -> 0.3398867512984781, t2 -> 0.6132952080888214, yy -> 0.11976793782296535, xx -> 0.31234080666851816}}}
{{-5.06752028692472*^6, {theta -> 0.9064066306982856, t1 -> 0.33743645341025236, t2 -> 0.6188247227524171, yy -> 0.1245710010571287, xx -> 0.32683342561927375}}}
{{-5.067721588430296*^6, {theta -> 0.9024129283660869, t1 -> 0.3487619326470635, t2 -> 0.6170917536993893, yy -> 0.10586757143605754, xx -> 0.32243398752788693}}}
{{-5.06538585386074*^6, {theta -> 0.9029320676128988, t1 -> 0.35094942175735666, t2 -> 0.6099221984028838, yy -> 0.12032844833441808, xx -> 0.3226163955343956}}}
{{-5.070860833383672*^6, {theta -> 0.9125707961250451, t1 -> 0.34574214770278205, t2 -> 0.5998523542187266, yy -> 0.1125361888290487, xx -> 0.3246223591943911}}}
{{-5.069007967026266*^6, {theta -> 0.9098239420674541, t1 -> 0.353415450041343, t2 -> 0.5962854968535285, yy -> 0.10437129732353076, xx -> 0.327989903970195}}}
{{-5.066295970610103*^6, {theta -> 0.9236936848833442, t1 -> 0.33764075673940147, t2 -> 0.5618840713625167, yy -> 0.1324429198860415, xx -> 0.3286617366931638}}}
{{-5.061687153428189*^6, {theta -> 0.9080773672753659, t1 -> 0.3685519345060112, t2 -> 0.5723193615147939, yy -> 0.1, xx -> 0.32154187032332193}}}
{{-5.06831538558951*^6, {theta -> 0.8952113078289035, t1 -> 0.2843502341699039, t2 -> 0.7032039306158078, yy -> 0.15950496883686333, xx -> 0.30292436932221967}}}
{{-5.067223488148506*^6, {theta -> 0.9042776890364731, t1 -> 0.33933876607273605, t2 -> 0.6227612512109356, yy -> 0.13387951034032952, xx -> 0.3247021420580225}}}
{{-5.075209474347848*^6, {theta -> 0.915133175745073, t1 -> 0.32939099283132034, t2 -> 0.6171828489527156, yy -> 0.14501305038916426, xx -> 0.32468500136585354}}}
{{-5.067953047810689*^6, {theta -> 0.9078996761249549, t1 -> 0.3496326687292349, t2 -> 0.6023858660130639, yy -> 0.10598050414165806, xx -> 0.3284921586253109}}}
{{-5.067208132073889*^6, {theta -> 0.8665022904859214, t1 -> 0.4443108658446304, t2 -> 0.5684582554697278, yy -> 0.11774335671083955, xx -> 0.27463378050251436}}}
{{-5.067059144283962*^6, {theta -> 0.9062893712281808, t1 -> 0.3602141809774438, t2 -> 0.5929404503557812, yy -> 0.10172084841773849, xx -> 0.3233687042112279}}}
{{-5.068936532955727*^6, {theta -> 0.946661660116702, t1 -> 0.2348583178259715, t2 -> 0.612904119688535, yy -> 0.1, xx -> 0.325547945450776}}}
{{-5.064350277960207*^6, {theta -> 0.8925115923941414, t1 -> 0.35367172347254805, t2 -> 0.632927280104224, yy -> 0.10827395229722134, xx -> 0.3202782106448095}}}
{{-5.067700370456445*^6, {theta -> 0.9126091960965873, t1 -> 0.3495277755281395, t2 -> 0.5906357589908805, yy -> 0.10573194487345655, xx -> 0.32653318879810045}}}
{{-5.07355125033357*^6, {theta -> 0.914789069353077, t1 -> 0.33141959179972175, t2 -> 0.6140152077999573, yy -> 0.11749579403397029, xx -> 0.32631327613188554}}}
{{-5.069525171624979*^6, {theta -> 0.9623293320213666, t1 -> 0.17468030623795014, t2 -> 0.6700282678947216, yy -> 0.12962539294975362, xx -> 0.2985226104723762}}}
{{-5.07323793072038*^6, {theta -> 0.9169597943789066, t1 -> 0.3107502065732556, t2 -> 0.6362777007628817, yy -> 0.1, xx -> 0.3339049867831455}}}
{{-5.069550049949051*^6, {theta -> 0.9123531386168764, t1 -> 0.3546138083747302, t2 -> 0.5891710128704988, yy -> 0.11233167508388876, xx -> 0.3283081286768078}}}
{{-5.07198028731917*^6, {theta -> 0.9017269589133226, t1 -> 0.3335223178968028, t2 -> 0.6413257079692047, yy -> 0.14948959222704106, xx -> 0.3237125546284897}}}
{{-5.067210083909197*^6, {theta -> 0.9083363859285976, t1 -> 0.3704702105858565, t2 -> 0.5779958738266823, yy -> 0.10000020730459491, xx -> 0.3414026531830131}}}
{{-5.0630872455621585*^6, {theta -> 0.9513257535638225, t1 -> 0.31907585227416857, t2 -> 0.532928224070201, yy -> 0.12835560163915158, xx -> 0.31583334047689976}}}
{{-5.069165448501003*^6, {theta -> 0.9084490135288927, t1 -> 0.35398683904698847, t2 -> 0.6004904929151058, yy -> 0.10949658031136408, xx -> 0.32849234294098195}}}
{{-5.06761596244999*^6, {theta -> 0.9086894620804726, t1 -> 0.3413208768389906, t2 -> 0.6109232435969507, yy -> 0.10958012500621567, xx -> 0.32806051812394155}}}
{{-5.064408556331584*^6, {theta -> 0.8737872945998523, t1 -> 0.41041865593686166, t2 -> 0.5816064189150084, yy -> 0.1, xx -> 0.2778662611357707}}}
{{-5.072845565137642*^6, {theta -> 0.9123176381160332, t1 -> 0.3436385268802061, t2 -> 0.6051066105823353, yy -> 0.12097175453540922, xx -> 0.33086313383103055}}}
{{-5.070771858482633*^6, {theta -> 0.91660731769782, t1 -> 0.3646118321557331, t2 -> 0.5660661759810126, yy -> 0.10347634236782438, xx -> 0.32886058311913946}}}
{{-5.070678887470155*^6, {theta -> 0.9164483915035645, t1 -> 0.36019875650665256, t2 -> 0.5704239642934552, yy -> 0.14784889861841716, xx -> 0.33193487424626167}}}
{{-5.0694750136301555*^6, {theta -> 0.9033718640639434, t1 -> 0.3423718025778738, t2 -> 0.6291229122114593, yy -> 0.14439000586934556, xx -> 0.33544300485794076}}}
{{-5.063956396389281*^6, {theta -> 0.9125682658816521, t1 -> 0.36547652985740875, t2 -> 0.5604195459131815, yy -> 0.1001603870963384, xx -> 0.317722857062701}}}
{{-5.06582639667473*^6, {theta -> 0.9130677477256437, t1 -> 0.3624778735846106, t2 -> 0.5731613501214345, yy -> 0.12510533330721468, xx -> 0.3296046647299533}}}
{{-5.064699471094762*^6, {theta -> 0.9121844155596037, t1 -> 0.39894653740086783, t2 -> 0.5282640720707642, yy -> 0.10944599035827937, xx -> 0.327882422312586}}}
{{-5.066077961573352*^6, {theta -> 0.9072181032714405, t1 -> 0.3738664091304871, t2 -> 0.5711618466319959, yy -> 0.10573001127329795, xx -> 0.3303078701879715}}}
{{-5.071985272333118*^6, {theta -> 0.9626324290149375, t1 -> 0.2247162737494758, t2 -> 0.6299542967668226, yy -> 0.1912734795771926, xx -> 0.30044095802036386}}}
{{-5.0679003002713295*^6, {theta -> 0.9106660810467146, t1 -> 0.36542216865742444, t2 -> 0.5798312666881678, yy -> 0.10151534989243496, xx -> 0.33727573777140374}}}
{{-5.073911375722016*^6, {theta -> 0.9196877749277941, t1 -> 0.3465004422717888, t2 -> 0.5933411520725902, yy -> 0.11354328357859968, xx -> 0.33937732316771174}}}
{{-5.067349359852317*^6, {theta -> 0.907206179993814, t1 -> 0.3550026716563953, t2 -> 0.6005403855969456, yy -> 0.1051135160831401, xx -> 0.3327484406277211}}}
{{-5.067536396981922*^6, {theta -> 0.9073113251232032, t1 -> 0.3246489622553361, t2 -> 0.6320657489820749, yy -> 0.12531447636940476, xx -> 0.32986799081828333}}}
{{-5.066761687402438*^6, {theta -> 0.911964183622177, t1 -> 0.36679162763779766, t2 -> 0.5719574524420765, yy -> 0.11847963754187209, xx -> 0.3228293261173055}}}
{{-5.066538166377831*^6, {theta -> 0.9176183718115706, t1 -> 0.36867463784333465, t2 -> 0.5603373361984266, yy -> 0.12296108991953845, xx -> 0.33234948316569124}}}
{{-5.069151075297478*^6, {theta -> 0.9107452726449905, t1 -> 0.35824199281167884, t2 -> 0.5852339314839916, yy -> 0.10590067653099525, xx -> 0.3210647263453271}}}
{{-5.068057185354581*^6, {theta -> 0.9056511892092096, t1 -> 0.3459876052717239, t2 -> 0.6107190156887708, yy -> 0.12209414655337344, xx -> 0.3298420042710316}}}
{{-5.0711890684865685*^6, {theta -> 0.9079903184080991, t1 -> 0.34687317289050135, t2 -> 0.6071527019862846, yy -> 0.1363965702429079, xx -> 0.3255930499872717}}}
{{-5.064631125816252*^6, {theta -> 0.915518668306481, t1 -> 0.3257863645237519, t2 -> 0.6092330573201277, yy -> 0.10398491338636243, xx -> 0.31128687641865693}}}
{{-5.0693835689153485*^6, {theta -> 0.9126979656645742, t1 -> 0.3447064417956246, t2 -> 0.6001286865346631, yy -> 0.1177860091901782, xx -> 0.3269900292405654}}}
{{-5.06471330041485*^6, {theta -> 0.8950527504342236, t1 -> 0.3481809391673897, t2 -> 0.6357581103866831, yy -> 0.15467133341994485, xx -> 0.3239147301476344}}}
{{-5.06899720092917*^6, {theta -> 0.9104657823359744, t1 -> 0.33505646517632376, t2 -> 0.61360894790215, yy -> 0.14078389462462593, xx -> 0.32334173502749197}}}
{{-5.069934327898595*^6, {theta -> 0.9096553697644569, t1 -> 0.34815400878693314, t2 -> 0.6000178450667488, yy -> 0.11133881435847263, xx -> 0.32215218995431016}}}
{{-5.067433647952118*^6, {theta -> 0.9028504558306858, t1 -> 0.3560364062710076, t2 -> 0.604692538501638, yy -> 0.12664923672428074, xx -> 0.3278758302714804}}}
{{-5.07119242524221*^6, {theta -> 0.9103973685800981, t1 -> 0.32348495343850947, t2 -> 0.6511834354774086, yy -> 0.11898178488235578, xx -> 0.337576592796772}}}
{{-5.0664424585782215*^6, {theta -> 0.917190097115043, t1 -> 0.34674469307606903, t2 -> 0.5756684132678158, yy -> 0.1271687037485415, xx -> 0.32752432512911156}}}
{{-5.069595600823242*^6, {theta -> 0.9148784686293199, t1 -> 0.3511618776207925, t2 -> 0.5866914884058889, yy -> 0.12446874423067186, xx -> 0.32926391988985304}}}
{{-5.064692037269972*^6, {theta -> 0.9317372062056788, t1 -> 0.34898095090199066, t2 -> 0.5386028557414484, yy -> 0.14325832703032398, xx -> 0.3284925134077395}}}
{{-5.0664069750400465*^6, {theta -> 0.8985262916081665, t1 -> 0.33839350907636045, t2 -> 0.6356798565430762, yy -> 0.14300519926230387, xx -> 0.31892016630788433}}}
{{-5.067200165155454*^6, {theta -> 0.8485465092261779, t1 -> 0.40403724411387654, t2 -> 0.637169614714303, yy -> 0.15054778072799574, xx -> 0.22282583851399368}}}
{{-5.064326941523677*^6, {theta -> 0.9000932456163229, t1 -> 0.3517801557887765, t2 -> 0.61077350132279, yy -> 0.11024157193538188, xx -> 0.31940057181754594}}}
{{-5.070785900374601*^6, {theta -> 0.9084667427936752, t1 -> 0.33735520428696314, t2 -> 0.6209523020864012, yy -> 0.11992103198946671, xx -> 0.32386012081769716}}}
{{-5.064014873239223*^6, {theta -> 0.9007923683215947, t1 -> 0.36488131079895336, t2 -> 0.5929592212626913, yy -> 0.13145974658030335, xx -> 0.3233791277258957}}}
{{-5.0691340330780605*^6, {theta -> 0.9335472999173178, t1 -> 0.15723469978512525, t2 -> 0.7630606105963417, yy -> 0.19698937044912143, xx -> 0.22164782287106022}}}
{{-5.071984395298595*^6, {theta -> 0.9140639743117953, t1 -> 0.06467090390575644, t2 -> 0.8593380565790515, yy -> 0.5212282131251265, xx -> 0.20351381486284767}}}
{{-5.0705527780510485*^6, {theta -> 0.9111779362400216, t1 -> 0.3322212336002428, t2 -> 0.6174629292029767, yy -> 0.12340850668952268, xx -> 0.32555328376995407}}}
