{-7.19483964006015*^6, {theta -> 1.084600596005619, t2 -> 1.508601186649066, adm -> 0.5637472041564302, aa -> 0.7759175320305884, yy -> 0.10661862891568233, xx -> 1.301924243885345}}
{-7.197815571463447*^6, {theta -> 1.099728342299862, t2 -> 1.500405324630269, adm -> 0.559507169559581, aa -> 0.7825091443456564, yy -> 0.10270211626679375, xx -> 1.3184308999514052}}
{-7.20196814820003*^6, {theta -> 1.07852550014442, t2 -> 1.6604926681740628, adm -> 0.5887781146889566, aa -> 0.7898123263827386, yy -> 0.10195159325301348, xx -> 1.3379140456893217}}
{-7.197965053992307*^6, {theta -> 1.069495701221576, t2 -> 1.5, adm -> 0.5719464571947843, aa -> 0.7751343115300583, yy -> 0.10003393742088207, xx -> 1.2755643108415382}}
{-7.194910450641574*^6, {theta -> 1.0536777258053258, t2 -> 1.5021483837950351, adm -> 0.5797801601339346, aa -> 0.7700900205507444, yy -> 0.10225161698176792, xx -> 1.2616890653870865}}
{-7.20269753833751*^6, {theta -> 1.0882424032503408, t2 -> 1.6783179663039527, adm -> 0.5916510077185397, aa -> 0.8007103186766684, yy -> 0.10529145478478731, xx -> 1.3623977754123524}}
{-7.197298937268815*^6, {theta -> 1.1135535564183372, t2 -> 1.5303668643596098, adm -> 0.5467606841259001, aa -> 0.7871831971155364, yy -> 0.1, xx -> 1.3274768243864135}}
{-7.2066425526382495*^6, {theta -> 1.1105484655007642, t2 -> 1.5972199327597116, adm -> 0.5713846454245458, aa -> 0.7962010478072847, yy -> 0.13162312271882382, xx -> 1.3322881645497775}}
{-7.192515873009158*^6, {theta -> 1.0519034775874623, t2 -> 1.504725857391821, adm -> 0.5783778088181892, aa -> 0.7735782748797718, yy -> 0.10031623424917517, xx -> 1.2551880845270802}}
{-7.198960393136548*^6, {theta -> 1.09389892863051, t2 -> 1.5420112212309962, adm -> 0.5657846601580214, aa -> 0.7878026950106005, yy -> 0.11284883774265375, xx -> 1.3163608324556084}}
{-7.1927998597166035*^6, {theta -> 1.0794986859085016, t2 -> 1.5, adm -> 0.574907645921259, aa -> 0.7776842184569446, yy -> 0.10018315102713019, xx -> 1.3041066959672396}}
{-7.199892322648458*^6, {theta -> 1.0654787785344473, t2 -> 1.8809189070446137, adm -> 0.5989952177156983, aa -> 0.8119516946193275, yy -> 0.10725815479349235, xx -> 1.300751128464427}}
{-7.198656892178033*^6, {theta -> 1.075263142856902, t2 -> 1.6024319892691694, adm -> 0.5619509722987455, aa -> 0.7905808696747333, yy -> 0.10024849750351533, xx -> 1.2789134415450158}}
{-7.201363311981078*^6, {theta -> 1.1066950600212817, t2 -> 1.5, adm -> 0.559872263440105, aa -> 0.7819127857745553, yy -> 0.11406886532497088, xx -> 1.3284917966518046}}
{-7.205580438884124*^6, {theta -> 1.0532252039667391, t2 -> 2.0205042297517393, adm -> 0.5901832683292386, aa -> 0.8215865008028594, yy -> 0.1344640798562351, xx -> 1.2546687088185462}}
{-7.192608552981129*^6, {theta -> 1.0719805846105541, t2 -> 1.5019877889161344, adm -> 0.5706877973876007, aa -> 0.7754609625767845, yy -> 0.10626735325302522, xx -> 1.2795714237236533}}
{-7.20169764426445*^6, {theta -> 1.1249086485132374, t2 -> 1.5135148541115366, adm -> 0.5484540463563715, aa -> 0.7940308022594018, yy -> 0.11861610559272195, xx -> 1.3357099041459546}}
{-7.202728264902717*^6, {theta -> 1.1075155636162228, t2 -> 1.5039066210278698, adm -> 0.5553451922276167, aa -> 0.7842894210373721, yy -> 0.1002877986396554, xx -> 1.3239447489408005}}
{-7.214338572053142*^6, {theta -> 1.0852287394357507, t2 -> 1.5760357690485192, adm -> 0.5634089402037846, aa -> 0.7789142888208065, yy -> 0.11043593918457131, xx -> 1.2840719462859564}}
{-7.197915478684096*^6, {theta -> 1.084545932807379, t2 -> 1.5050069790904117, adm -> 0.556866346300336, aa -> 0.7758939574655954, yy -> 0.10770242596239886, xx -> 1.2778885939510476}}
{-7.197037356255388*^6, {theta -> 1.086042414710092, t2 -> 1.5043723294650992, adm -> 0.5658335869074236, aa -> 0.7778937742602093, yy -> 0.1016876443651985, xx -> 1.30086885234218}}
{-7.195905693747754*^6, {theta -> 1.0432173886470841, t2 -> 1.5480744976626883, adm -> 0.5921722565624384, aa -> 0.7718741819779851, yy -> 0.10008061370624854, xx -> 1.248443112601766}}
